sample_key,metal,site,analyst,conc_dil_error,conc_blanked,conc_blanked_error,conc_unblanked,conc_unblanked_error
24,Cr52,C,SGB,4.459084431437073,55931.242935884664,13078.924713174425,58068.07942256938,13212.188257421949
24,Cr53,C,SGB,13.846598999132361,57717.364912121426,40439.06625155951,59894.892806724136,40844.22420054126
24,Pb208,C,SGB,10.609420263868591,317974.53660554445,31875.50522358877,322495.5042409242,32127.47617258714
26,As75,C,AWB,112.82451626738982,2387.7025993893344,317237.35266784026,2546.3901834643825,320409.6887640746
26,Cd111,C,AWB,112.34335511980107,145.36272986860806,315884.39290743385,161.32397234421316,319043.2364445684
26,Cd114,C,AWB,4.8346023090324675,186.1445043378951,13593.834493869783,206.65287522866583,13729.759653527222
26,Cr52,C,AWB,6.437379315143916,28815.980731750085,18113.907199006724,30623.75215261453,18295.707211685072
26,Cr53,C,AWB,42.06687813756824,29676.93586402327,118284.8565187772,31515.30890593492,119467.78823312756
26,Pb208,C,AWB,16.902240765973573,246667.76806053068,47924.347752704634,250426.4304353459,48361.81258989093
27,As75,QC,AWB,22.2175090472509,14192.780367702648,61192.75510987964,14466.75873259764,61804.50990015363
27,Cd111,QC,AWB,39.73647503724275,2462.6091478632816,109442.63094363172,2501.4458379279185,110537.05632680081
27,Cd114,QC,AWB,1.0571633169076295,2567.7958625310366,2912.309279270428,2611.7389856819295,2941.3812177286745
27,Cr52,QC,AWB,1.0296568668150805,59221.30427788883,3150.433793675532,61302.01769673927,3192.9799455570915
27,Cr53,QC,AWB,8.507009962561048,60574.22558463501,23472.204452742943,62690.01003932107,23708.354084602983
27,Pb208,QC,AWB,11.223257349239617,1301675.9996829948,43097.79762398513,1315958.2933767682,43500.5252005747
38,As75,C,GB,98.23452691658308,2933.7919779529375,324699.35842588666,3121.604739009393,327946.3012826882
38,Cd111,C,GB,190.21166277338534,202.9338342747361,628715.7495196826,222.0174155877183,635002.9067423576
38,Cd114,C,GB,12.710076902382058,199.83362361041722,42011.2340386895,223.7521169620278,42431.34046094518
38,Cr52,C,GB,2.356246653670905,42515.19768435421,7836.924052943184,44726.70981493625,7916.977650197906
38,Cr53,C,GB,35.35377466813453,43400.227986565944,116859.9552839443,45646.44291873212,118028.63888720669
38,Pb208,C,GB,8.617433513195179,339118.6407196425,29384.399889948287,344028.6033433418,29582.681928574177
39,As75,QC,GB,118.3379880283441,11199.604734958693,342369.25848711864,11450.312626952515,345792.9160457116
39,Cd111,QC,GB,59.92502786454843,1895.5397792366728,173371.88796980644,1929.42262849295,175105.6061670977
39,Cd114,QC,GB,13.171660794071585,2042.1288987624032,38107.5758494825,2081.7367375132803,38488.647083696844
39,Cr52,QC,GB,4.289572199396185,45780.91727869962,12453.199861105026,47802.31414860904,12579.52404906368
39,Cr53,QC,GB,22.614052795894743,47047.88266387231,65434.40329758295,49104.57768648731,66089.05926457445
39,Pb208,QC,GB,23.38385574545298,965581.3743441718,71015.57543085153,976566.5615635255,71702.2042474544
40,As75,B,AB,47.626433922296776,2901.5646205388875,154852.61082259653,3086.468478735176,156401.0340142104
40,Cd111,B,AB,102.80479526154427,113.71074739781687,334259.31660894083,131.62373817331292,337601.9092773036
40,Cd114,B,AB,2.523864701365365,238.09024653680373,8206.119527249739,262.0335249084187,8288.151449353383
40,Cr52,B,AB,3.1005136440322394,14658.45292424493,10086.983342253332,16562.240603806174,10187.220004885485
40,Cr53,B,AB,13.303060197685808,14943.409707831086,43255.07704079676,16875.47748883123,43687.388463087846
40,Pb208,B,AB,11.898945220088075,158151.32560720813,38891.982467347945,161226.82558632863,39208.379440056466
41,As75,B,LF,93.54042336259691,4366.214514906055,288566.532968662,4557.78397695348,291452.14912620524
41,Cd111,B,LF,299.93774815554485,166.5723037887086,925289.5502472831,184.1550474661835,934542.4455885788
41,Cd114,B,LF,15.987660241770584,430.33537766650767,49320.9562168737,455.0971941166244,49814.16144565248
41,Cr52,B,LF,5.872965825044101,19365.035420107837,18123.717058998318,21225.92667655353,18305.01286921283
41,Cr53,B,LF,42.73656081336725,19961.223364201865,131840.5629520768,21852.20508521037,133158.9527173656
41,Pb208,B,LF,46.08320470283445,939718.0535596071,143711.96631913976,950532.7342696281,145135.43064589408
44,As75,QC,KAD,34.004776061480634,17140.28495897905,109004.32496917127,17465.377315171998,110094.23419117078
44,Cd111,QC,KAD,40.36772970364553,2842.9779612698303,129400.35261662999,2887.9470108793703,130694.35503321752
44,Cd114,QC,KAD,6.531779897154424,3138.0411115131756,20937.98185258372,3190.679774755905,21147.351702806474
44,Cr52,QC,KAD,2.925073489173457,71932.35408617031,9488.303959152454,74384.09652981459,9586.74479599963
44,Cr53,QC,KAD,9.40571803248772,74018.66004888233,30187.536817365024,76516.33740404164,30490.464273692087
44,Pb208,QC,KAD,1.9705971613900406,1474918.0022524826,30310.237727282536,1491140.09725302,30548.633629441054
45,As75,B,KAD,116.23778998044358,3473.3185196195977,339655.9265688709,3648.150667906472,343052.44821771415
45,Cd111,B,KAD,1504.82276010427,199.46248374590593,4397209.363973694,216.53383456191486,4441181.4575830735
45,Cd114,B,KAD,28.9110610375315,318.52090659344594,84480.37575328304,341.0845309202661,85325.1772308568
45,Cr52,B,KAD,2.6194685340958963,18854.590405029525,7667.5916277951355,20622.359883173467,7744.44392035298
45,Cr53,B,KAD,48.12725711675775,19452.677741198324,140632.3850224085,21249.282876546346,142038.69859434932
45,Pb208,B,KAD,37.598120437600294,257420.98311276833,110035.06380280807,261337.86015456708,111115.58829495155
46,As75,A,LML,101.1821750760425,2270.836422653109,275996.3619780632,2424.3251089174737,278756.2850821266
46,Cd111,A,LML,220.54330113725445,119.15359866657096,601579.6621472717,134.41903666687764,607595.4585747396
46,Cd114,A,LML,18.622556965798196,217.77909920229536,50797.064591950846,238.0463559012212,51305.0319234876
46,Cr52,A,LML,3.950953107157976,24610.704716000248,10793.426759102422,26330.993748761586,10902.106981996816
46,Cr53,A,LML,24.351603323133084,25592.930946739638,66427.17760945806,27344.37684646978,67091.54116804826
46,Pb208,A,LML,7.81047139070005,314975.3088780299,22621.81618758917,319378.4220654681,22766.733450183117
47,As75,QC,LML,28.310458350011302,14836.781486966802,78683.25640134708,15118.401244068844,79469.95292617296
47,Cd111,QC,LML,85.53695386738863,2532.1028091198377,237730.12256569008,2571.763722209662,240107.42336053253
47,Cd114,QC,LML,7.28176330707165,2716.378887723343,20238.078919552074,2761.974015519389,20440.452304176568
47,Cr52,QC,LML,4.402936768365234,63860.14633533222,12327.981844624679,66000.79038219078,12454.50168349178
47,Cr53,QC,LML,100.1033520697077,65426.98270886293,278218.26634955476,67605.0329272829,281000.5886284966
47,Pb208,QC,LML,26.071783224839898,1310734.3831872828,78653.148692121,1325118.7743979993,79424.16070192074
48,As75,A,AH,100.0913423409395,2201.7604890781554,291599.4923373043,2363.457797940441,294515.4434396031
48,Cd111,A,AH,84.84130797709174,114.04672372511233,247171.01112476998,130.21879844242935,249642.72069682623
48,Cd114,A,AH,17.13638747616694,210.3095164941321,49924.01293897754,231.73303521799323,50423.24921530735
48,Cr52,A,AH,2.657841214501288,33649.67499465322,7783.245558667118,35560.669345923525,7862.946221282269
48,Cr53,A,AH,6.115714358748853,34689.18547769654,17835.803364672498,36633.36132258283,18014.85398038104
48,Pb208,A,AH,12.291012607783015,254305.90716112137,36342.66035553323,258187.61538745475,36646.61248310194
51,As75,C,LG,267.29658240037566,3532.338642264857,799863.4472887253,3711.133503058861,807862.0650074292
51,Cd111,C,LG,506.26768837576446,117.28224441452673,1514965.1535001353,133.89472506253338,1530114.8049422877
